"","X","Nederland","Groningen","Friesland","Drenthe","Overijssel","Flevoland","Gelderland","Utrecht","Noord.Holland","Zuid.Holland","Zeeland","Noord.Brabant","Limburg"
"1","het eerste kwartaal van 2015",8.5,10.5,8.8,9.3,8.1,9.4,7.9,7.9,8.2,9.4,6.9,7.9,8.2
"2","het tweede kwartaal van 2015",7.9,9.6,8.4,7.8,7.8,8.9,7.6,7.1,7.4,8.9,6.7,7.6,7.7
"3","het derde kwartaal van 2015",7.5,8.8,8.1,7.2,7.4,8,7,7.1,7.2,8.4,6.2,7.2,7.1
"4","het vierde kwartaal van 2015",7.6,9.2,8.1,7.8,7.3,8.1,7,7.1,7.4,8.4,6.5,7.3,7.4
"5","het eerste kwartaal van 2016",7.8,8.9,8.7,8,7.6,9.1,7.6,6.8,7.3,8.6,6.4,7.2,7.8
"6","het tweede kwartaal van 2016",7.2,8.5,7.4,7.1,7.2,7.7,6.9,6.4,7,8.2,6,6.8,6.8
"7","het derde kwartaal van 2016",6.6,8.1,6.3,6.3,7,7.5,6.1,5.9,6.4,7.9,4.7,5.9,5.9
"8","het vierde kwartaal van 2016",6.4,8,6.8,6.6,7,8.7,5.9,5.7,6.1,7.2,4.8,6,5.8
"9","het eerste kwartaal van 2017",6.6,8.3,6.7,7,6.9,7.2,6.1,5.7,6.3,7.5,5.1,6.2,6.2
"10","het tweede kwartaal van 2017",6,7.9,6.7,5.4,5.8,7,5.6,4.9,6,6.8,4.6,5.6,5.8
"11","het derde kwartaal van 2017",5.5,6.2,5.6,5.7,5.4,6.3,5.5,5,5.5,6.1,4.9,5,5.6
"12","het vierde kwartaal van 2017",5.3,6.5,5.7,5.8,5.4,5.8,4.7,5.4,5.6,5.7,4.6,4.8,5.2
"13","het eerste kwartaal van 2018",5.4,8,6.2,5.2,5.5,5.7,4.9,4.9,5.3,5.8,4.3,5.1,5
"14","het tweede kwartaal van 2018",4.9,5.4,5.2,5.6,4.9,5,4.6,4.7,5.3,5.1,4.2,4.5,4.8
"15","het derde kwartaal van 2018",4.6,5.7,4.5,4.7,4.5,5,4.5,4.2,4.8,5.1,4,4.2,4.6
"16","het vierde kwartaal van 2018",4.6,6.1,4.7,4.2,4.1,5.2,4.4,4.1,4.6,5.1,4,4.1,4.4
"17","het eerste kwartaal van 2019",4.7,5.9,4.7,4.4,4.4,4.9,4.3,4.3,4.7,5.5,4.3,4.5,4.5
"18","het tweede kwartaal van 2019",4.4,5.3,4.3,4.2,4.1,4.7,4.1,4.1,4.4,4.7,4,4.1,4.5
"19","het derde kwartaal van 2019",4.3,5.2,4.2,3.9,4.1,4.6,4,3.9,4.4,4.8,3.8,4,4.3
"20","het vierde kwartaal van 2019",4.3,6.1,4.5,3.6,4.2,4.3,3.9,3.7,4.3,5,3.5,4.1,3.9
"21","het eerste kwartaal van 2020",4.3,5.4,4.6,4.1,4.1,4.3,4.2,3.8,4.2,4.6,3.6,4,4.6
"22","het tweede kwartaal van 2020",4.8,5.5,4.8,4.8,4.7,5,4.6,4.4,4.9,5.1,4.3,4.7,4.9
"23","het derde kwartaal van 2020",5.3,5.7,5.1,5,4.9,5.6,4.8,4.9,5.7,5.8,4.6,4.9,5.3
"24","het vierde kwartaal van 2020",5,5.8,4.8,4.9,4.5,5.2,4.3,4.7,5.8,5.5,4.1,4.4,4.7
"25","het eerste kwartaal van 2021",4.8,5.4,4.8,4,4.4,5.7,4.3,4.1,5.4,5.6,4.2,4.1,4.8
"26","het tweede kwartaal van 2021",4.3,5.6,4.3,3.6,3.6,5.5,3.8,3.9,4.9,5,3.9,3.7,3.5
"27","het derde kwartaal van 2021",4,5,3.9,3.3,3.2,4.2,3.3,4.1,4.8,4.9,3.1,3.1,3.3
"28","het vierde kwartaal van 2021",3.7,3.8,3.6,3.5,3.6,3.7,3.8,3.4,4.2,4,3.2,3.2,3.7
"29","het eerste kwartaal van 2022",3.6,4.3,3.5,3.4,3.4,3.6,3.4,3.5,3.8,3.9,3.2,3.4,3.7
"30","het tweede kwartaal van 2022",3.3,4,3.4,3.1,3,3.4,3.1,3.2,3.7,3.5,2.4,3.1,3.4
"31","het derde kwartaal van 2022",3.7,3.9,3.5,3.3,3.3,4,3.5,3.5,3.8,4.1,3.2,3.4,3.6
"32","het vierde kwartaal van 2022",3.5,3.8,3.5,2.9,3.1,3.8,3.2,3.1,3.8,4.1,2.9,3.1,3.5
"33","het eerste kwartaal van 2023",3.7,4.4,3.8,3.5,3.5,3.9,3.1,3.5,4,4,3.1,3.5,3.8
"34","het tweede kwartaal van 2023",3.4,3.9,3.5,3,3.1,3.7,3,3.3,3.9,3.7,2.9,3.2,3.5
"35","het derde kwartaal van 2023",3.6,4,3.6,3,3.2,3.9,3.3,3.6,3.8,4.1,2.9,3.3,3.5
"36","het vierde kwartaal van 2023",3.4,3.6,3.4,3.1,3.3,3.3,3.4,3.3,3.9,3.7,2.5,3,3
"37","het eerste kwartaal van 2024",3.8,4.2,3.9,3.3,3.6,4.2,3.5,3.8,4.2,4.2,2.8,3.3,3.6
"38","het tweede kwartaal van 2024",3.6,4.2,3.7,3.6,3.3,3.8,3.3,3.5,4,3.7,3,3.2,3.6
"39","het derde kwartaal van 2024",3.7,4.3,3.5,3.5,3.4,3.9,3.4,3.5,4.1,4.1,3.1,3.2,3.6
"40","het vierde kwartaal van 2024",3.6,4.2,3.4,3.1,3.3,3.6,3.2,3.5,3.8,4,2.8,3.2,3.6
"41","het eerste kwartaal van 2025",4,4.7,3.8,4.2,3.6,4,3.3,3.5,4.4,4.7,3.3,3.6,3.4
