"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"Region","Nederland","Groningen (PV)","Frysl?n (PV)","Drenthe (PV)","Overijssel (PV)","Flevoland (PV)","Gelderland (PV)","Utrecht (PV)","Noord-Holland (PV)","Zuid-Holland (PV)","Zeeland (PV)","Noord-Brabant (PV)","Limburg (PV)"
"X2013"," 8.2"," 9.0"," 8.9"," 8.1"," 8.1","10.0"," 7.7"," 7.4"," 8.3"," 9.0"," 6.9"," 7.6"," 8.1"
"X2014"," 8.3"," 9.3"," 8.8"," 8.2"," 8.0","10.4"," 7.9"," 7.5"," 8.2"," 9.2"," 6.5"," 7.9"," 8.2"
"X2015","7.9","9.5","8.4","8.0","7.7","8.6","7.4","7.3","7.6","8.8","6.6","7.5","7.6"
"X2016","7.0","8.4","7.3","7.0","7.2","8.2","6.6","6.2","6.7","8.0","5.5","6.5","6.6"
"X2017","5.9","7.2","6.2","6.0","5.9","6.6","5.5","5.3","5.8","6.5","4.8","5.4","5.7"
"X2018","4.9","6.3","5.2","4.9","4.7","5.2","4.6","4.5","5.0","5.3","4.1","4.5","4.7"
"X2019","4.4","5.6","4.4","4.0","4.2","4.6","4.1","4.0","4.5","5.0","3.9","4.2","4.3"
"X2020","4.9","5.6","4.8","4.7","4.6","5.0","4.5","4.4","5.2","5.3","4.2","4.5","4.9"
"X2021","4.2","4.9","4.1","3.6","3.7","4.8","3.8","3.9","4.8","4.9","3.6","3.5","3.8"
"X2022","3.5","4.0","3.5","3.2","3.2","3.7","3.3","3.3","3.8","3.9","2.9","3.2","3.6"
"X2023","3.6","4.0","3.6","3.1","3.3","3.7","3.2","3.4","3.9","3.9","2.9","3.3","3.5"
"X2024","3.7","4.2","3.6","3.4","3.4","3.9","3.3","3.6","4.0","4.0","2.9","3.2","3.6"
