"","Geregistreerde criminaliteit; tijdreeks vanaf 1948","...2"
"1",NA,NA
"2",NA,"Onderwerp"
"3",NA,"Geregistreerde misdrijven|Misdrijven, totaal"
"4","Perioden","aantal"
"5","1948","133255"
"6","1949","105080"
"7","1950","103135"
"8","1951","124620"
"9","1952","121400"
"10","1953","114955"
"11","1954","109580"
"12","1955","110655"
"13","1956","112805"
"14","1957","126770"
"15","1958","133215"
"16","1959","134290"
"17","1960","140735"
"18","1961","145035"
"19","1962","155780"
"20","1963","159000"
"21","1964","172965"
"22","1965","181560"
"23","1966","197675"
"24","1967","210570"
"25","1968","232055"
"26","1969","256765"
"27","1970","284700"
"28","1971","329820"
"29","1972","373865"
"30","1973","416840"
"31","1974","456590"
"32","1975","486670"
"33","1976","564025"
"34","1977","590880"
"35","1978","612370"
"36","1979","668235"
"37","1980","757405"
"38","1981","872355"
"39","1982","990535"
"40","1983","1059290"
"41","1984","1163500"
"42","1985","1174245"
"43","1986","1178540"
"44","1987","1212920"
"45","1988","1231185"
"46","1989","1245150"
"47","1990","1235480"
"48","1991","1268785"
"49","1992","1362250"
"50","1993","1366550"
"51","1994","1410595"
"52","1995","1317130"
"53","1996","1274155"
"54","1997","1309610"
"55","1998","1325725"
"56","1999","1399855"
"57","2000","1426710"
"58","2001","1481500"
"59","2002","1505135"
"60","2003","1470760"
"61","2004","1417040"
"62","2005","1348285"
"63","2006","1311770"
"64","2007","1303835"
"65","2008","1277775"
"66","2009","1254480"
"67","2010","1200825"
"68","2011","1206565"
"69","2012","1154950"
"70","2013","1105565"
"71","2014","1025630"
"72","2015","978945"
"73","2016","930325"
"74","2017","832950"
"75","2018","786420"
"76","2019","821905"
"77","2020","813150"
"78","2021","758065"
"79","2022","810550"
"80","2023*","816375"
"81","2024*","811885"
"82","Bron: CBS",NA
