"","Jaar","Bevolking","...3"
"1",1900,5100000,5.1
"2",1901,5160000,5.16
"3",1902,5230000,5.23
"4",1903,5310000,5.31
"5",1904,5380000,5.38
"6",1905,5460000,5.46
"7",1906,5540000,5.54
"8",1907,5620000,5.62
"9",1908,5700000,5.7
"10",1909,5770000,5.77
"11",1910,5860000,5.86
"12",1911,5950000,5.95
"13",1912,6030000,6.03
"14",1913,6130000,6.13
"15",1914,6240000,6.24
"16",1915,6340000,6.34
"17",1916,6430000,6.43
"18",1917,6530000,6.53
"19",1918,6620000,6.62
"20",1919,6680000,6.68
"21",1920,6750000,6.75
"22",1921,6870000,6.87
"23",1922,6980000,6.98
"24",1923,7080000,7.08
"25",1924,7200000,7.2
"26",1925,7310000,7.31
"27",1926,7420000,7.42
"28",1927,7520000,7.52
"29",1928,7620000,7.62
"30",1929,7730000,7.73
"31",1930,7830000,7.83
"32",1931,7940000,7.94
"33",1932,8060000,8.06
"34",1933,8180000,8.18
"35",1934,8290000,8.29
"36",1935,8390000,8.39
"37",1936,8480000,8.48
"38",1937,8560000,8.56
"39",1938,8640000,8.64
"40",1939,8730000,8.73
"41",1940,8830000,8.83
"42",1941,8920000,8.92
"43",1942,9010000,9.01
"44",1943,9080000,9.08
"45",1944,9130000,9.13
"46",1945,9220000,9.22
"47",1946,9300000,9.3
"48",1947,9540000,9.54
"49",1948,9720000,9.72
"50",1949,9880000,9.88
"51",1950,10030000,10.03
"52",1951,10200000,10.2
"53",1952,10330000,10.33
"54",1953,10440000,10.44
"55",1954,10550000,10.55
"56",1955,10680000,10.68
"57",1956,10820000,10.82
"58",1957,10960000,10.96
"59",1958,11100000,11.1
"60",1959,11280000,11.28
"61",1960,11420000,11.42
"62",1961,11560000,11.56
"63",1962,11720000,11.72
"64",1963,11890000,11.89
"65",1964,12040000,12.04
"66",1965,12210000,12.21
"67",1966,12380000,12.38
"68",1967,12540000,12.54
"69",1968,12660000,12.66
"70",1969,12800000,12.8
"71",1970,12960000,12.96
"72",1971,13120000,13.12
"73",1972,13270000,13.27
"74",1973,13390000,13.39
"75",1974,13490000,13.49
"76",1975,13600000,13.6
"77",1976,13730000,13.73
"78",1977,13810000,13.81
"79",1978,13900000,13.9
"80",1979,13990000,13.99
"81",1980,14090000,14.09
"82",1981,14210000,14.21
"83",1982,14290000,14.29
"84",1983,14340000,14.34
"85",1984,14400000,14.4
"86",1985,14450000,14.45
"87",1986,14530000,14.53
"88",1987,14620000,14.62
"89",1988,14720000,14.72
"90",1989,14810000,14.81
"91",1990,14890000,14.89
"92",1991,15010000,15.01
"93",1992,15130000,15.13
"94",1993,15240000,15.24
"95",1994,15340000,15.34
"96",1995,15420000,15.42
"97",1996,15490000,15.49
"98",1997,15570000,15.57
"99",1998,15650000,15.65
"100",1999,15760000,15.76
"101",2000,15860000,15.86
"102",2001,15990000,15.99
"103",2002,16110000,16.11
"104",2003,16190000,16.19
"105",2004,16260000,16.26
"106",2005,16310000,16.31
"107",2006,16330000,16.33
"108",2007,16360000,16.36
"109",2008,16410000,16.41
"110",2009,16490000,16.49
"111",2010,16570000,16.57
"112",2011,16660000,16.66
"113",2012,16730000,16.73
"114",2013,16780000,16.78
"115",2014,16830000,16.83
"116",2015,16900000,16.9
"117",2016,16980000,16.98
"118",2017,17080000,17.08
"119",2018,17180000,17.18
"120",2019,17280000,17.28
"121",2020,17410000,17.41
"122",2021,17480000,17.48
"123",2022,17590000,17.59
"124",2023,17810000,17.81
"125",2024,17940000,17.94
