"","Arbeidsdeelname; kerncijfers","...2"
"1","Hoogst behaald onderwijsniveau: Totaal",NA
"2","Onderwerp: |Werkloosheidspercentage",NA
"3",NA,NA
"4","Perioden","2021"
"5","Geslacht","Totaal mannen en vrouwen"
"6","Leeftijd","%"
"7","15 tot 20 jaar","12,4"
"8","20 tot 25 jaar","6,8"
"9","25 tot 30 jaar","3,9"
"10","30 tot 35 jaar","3,5"
"11","35 tot 40 jaar","2,8"
"12","40 tot 45 jaar","3,1"
"13","45 tot 50 jaar","2,4"
"14","50 tot 55 jaar","2,8"
"15","55 tot 60 jaar","2,9"
"16","60 tot 65 jaar","3,7"
"17","65 tot 70 jaar","4,0"
"18","70 tot 75 jaar","3,7"
"19","Bron: CBS",NA
