"","...1","Perioden","Regio.s","Beroepsbevolking.Werkloosheidspercentage...."
"1",1,2013,"Nederland",8.2
"2",2,2014,"Nederland",8.3
"3",3,2015,"Nederland",7.9
"4",4,2016,"Nederland",7
"5",5,2017,"Nederland",5.9
"6",6,2018,"Nederland",4.9
"7",7,2019,"Nederland",4.4
"8",8,2020,"Nederland",4.9
"9",9,2021,"Nederland",4.2
"10",10,2022,"Nederland",3.5
"11",11,2023,"Nederland",3.6
"12",12,2024,"Nederland",3.7
"13",13,2013,"Groningen (PV)",9
"14",14,2014,"Groningen (PV)",9.3
"15",15,2015,"Groningen (PV)",9.5
"16",16,2016,"Groningen (PV)",8.4
"17",17,2017,"Groningen (PV)",7.2
"18",18,2018,"Groningen (PV)",6.3
"19",19,2019,"Groningen (PV)",5.6
"20",20,2020,"Groningen (PV)",5.6
"21",21,2021,"Groningen (PV)",4.9
"22",22,2022,"Groningen (PV)",4
"23",23,2023,"Groningen (PV)",4
"24",24,2024,"Groningen (PV)",4.2
"25",25,2013,"Fryslân (PV)",8.9
"26",26,2014,"Fryslân (PV)",8.8
"27",27,2015,"Fryslân (PV)",8.4
"28",28,2016,"Fryslân (PV)",7.3
"29",29,2017,"Fryslân (PV)",6.2
"30",30,2018,"Fryslân (PV)",5.2
"31",31,2019,"Fryslân (PV)",4.4
"32",32,2020,"Fryslân (PV)",4.8
"33",33,2021,"Fryslân (PV)",4.1
"34",34,2022,"Fryslân (PV)",3.5
"35",35,2023,"Fryslân (PV)",3.6
"36",36,2024,"Fryslân (PV)",3.6
"37",37,2013,"Drenthe (PV)",8.1
"38",38,2014,"Drenthe (PV)",8.2
"39",39,2015,"Drenthe (PV)",8
"40",40,2016,"Drenthe (PV)",7
"41",41,2017,"Drenthe (PV)",6
"42",42,2018,"Drenthe (PV)",4.9
"43",43,2019,"Drenthe (PV)",4
"44",44,2020,"Drenthe (PV)",4.7
"45",45,2021,"Drenthe (PV)",3.6
"46",46,2022,"Drenthe (PV)",3.2
"47",47,2023,"Drenthe (PV)",3.1
"48",48,2024,"Drenthe (PV)",3.4
"49",49,2013,"Overijssel (PV)",8.1
"50",50,2014,"Overijssel (PV)",8
"51",51,2015,"Overijssel (PV)",7.7
"52",52,2016,"Overijssel (PV)",7.2
"53",53,2017,"Overijssel (PV)",5.9
"54",54,2018,"Overijssel (PV)",4.7
"55",55,2019,"Overijssel (PV)",4.2
"56",56,2020,"Overijssel (PV)",4.6
"57",57,2021,"Overijssel (PV)",3.7
"58",58,2022,"Overijssel (PV)",3.2
"59",59,2023,"Overijssel (PV)",3.3
"60",60,2024,"Overijssel (PV)",3.4
"61",61,2013,"Flevoland (PV)",10
"62",62,2014,"Flevoland (PV)",10.4
"63",63,2015,"Flevoland (PV)",8.6
"64",64,2016,"Flevoland (PV)",8.2
"65",65,2017,"Flevoland (PV)",6.6
"66",66,2018,"Flevoland (PV)",5.2
"67",67,2019,"Flevoland (PV)",4.6
"68",68,2020,"Flevoland (PV)",5
"69",69,2021,"Flevoland (PV)",4.8
"70",70,2022,"Flevoland (PV)",3.7
"71",71,2023,"Flevoland (PV)",3.7
"72",72,2024,"Flevoland (PV)",3.9
"73",73,2013,"Gelderland (PV)",7.7
"74",74,2014,"Gelderland (PV)",7.9
"75",75,2015,"Gelderland (PV)",7.4
"76",76,2016,"Gelderland (PV)",6.6
"77",77,2017,"Gelderland (PV)",5.5
"78",78,2018,"Gelderland (PV)",4.6
"79",79,2019,"Gelderland (PV)",4.1
"80",80,2020,"Gelderland (PV)",4.5
"81",81,2021,"Gelderland (PV)",3.8
"82",82,2022,"Gelderland (PV)",3.3
"83",83,2023,"Gelderland (PV)",3.2
"84",84,2024,"Gelderland (PV)",3.3
"85",85,2013,"Utrecht (PV)",7.4
"86",86,2014,"Utrecht (PV)",7.5
"87",87,2015,"Utrecht (PV)",7.3
"88",88,2016,"Utrecht (PV)",6.2
"89",89,2017,"Utrecht (PV)",5.3
"90",90,2018,"Utrecht (PV)",4.5
"91",91,2019,"Utrecht (PV)",4
"92",92,2020,"Utrecht (PV)",4.4
"93",93,2021,"Utrecht (PV)",3.9
"94",94,2022,"Utrecht (PV)",3.3
"95",95,2023,"Utrecht (PV)",3.4
"96",96,2024,"Utrecht (PV)",3.6
"97",97,2013,"Noord-Holland (PV)",8.3
"98",98,2014,"Noord-Holland (PV)",8.2
"99",99,2015,"Noord-Holland (PV)",7.6
"100",100,2016,"Noord-Holland (PV)",6.7
"101",101,2017,"Noord-Holland (PV)",5.8
"102",102,2018,"Noord-Holland (PV)",5
"103",103,2019,"Noord-Holland (PV)",4.5
"104",104,2020,"Noord-Holland (PV)",5.2
"105",105,2021,"Noord-Holland (PV)",4.8
"106",106,2022,"Noord-Holland (PV)",3.8
"107",107,2023,"Noord-Holland (PV)",3.9
"108",108,2024,"Noord-Holland (PV)",4
"109",109,2013,"Zuid-Holland (PV)",9
"110",110,2014,"Zuid-Holland (PV)",9.2
"111",111,2015,"Zuid-Holland (PV)",8.8
"112",112,2016,"Zuid-Holland (PV)",8
"113",113,2017,"Zuid-Holland (PV)",6.5
"114",114,2018,"Zuid-Holland (PV)",5.3
"115",115,2019,"Zuid-Holland (PV)",5
"116",116,2020,"Zuid-Holland (PV)",5.3
"117",117,2021,"Zuid-Holland (PV)",4.9
"118",118,2022,"Zuid-Holland (PV)",3.9
"119",119,2023,"Zuid-Holland (PV)",3.9
"120",120,2024,"Zuid-Holland (PV)",4
"121",121,2013,"Zeeland (PV)",6.9
"122",122,2014,"Zeeland (PV)",6.5
"123",123,2015,"Zeeland (PV)",6.6
"124",124,2016,"Zeeland (PV)",5.5
"125",125,2017,"Zeeland (PV)",4.8
"126",126,2018,"Zeeland (PV)",4.1
"127",127,2019,"Zeeland (PV)",3.9
"128",128,2020,"Zeeland (PV)",4.2
"129",129,2021,"Zeeland (PV)",3.6
"130",130,2022,"Zeeland (PV)",2.9
"131",131,2023,"Zeeland (PV)",2.9
"132",132,2024,"Zeeland (PV)",2.9
"133",133,2013,"Noord-Brabant (PV)",7.6
"134",134,2014,"Noord-Brabant (PV)",7.9
"135",135,2015,"Noord-Brabant (PV)",7.5
"136",136,2016,"Noord-Brabant (PV)",6.5
"137",137,2017,"Noord-Brabant (PV)",5.4
"138",138,2018,"Noord-Brabant (PV)",4.5
"139",139,2019,"Noord-Brabant (PV)",4.2
"140",140,2020,"Noord-Brabant (PV)",4.5
"141",141,2021,"Noord-Brabant (PV)",3.5
"142",142,2022,"Noord-Brabant (PV)",3.2
"143",143,2023,"Noord-Brabant (PV)",3.3
"144",144,2024,"Noord-Brabant (PV)",3.2
"145",145,2013,"Limburg (PV)",8.1
"146",146,2014,"Limburg (PV)",8.2
"147",147,2015,"Limburg (PV)",7.6
"148",148,2016,"Limburg (PV)",6.6
"149",149,2017,"Limburg (PV)",5.7
"150",150,2018,"Limburg (PV)",4.7
"151",151,2019,"Limburg (PV)",4.3
"152",152,2020,"Limburg (PV)",4.9
"153",153,2021,"Limburg (PV)",3.8
"154",154,2022,"Limburg (PV)",3.6
"155",155,2023,"Limburg (PV)",3.5
"156",156,2024,"Limburg (PV)",3.6
